Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[strain]	Characteristics[individual]	Characteristics[age]	Unit[time unit]	Term Source REF	Term Accession Number	Characteristics[developmental stage]	Characteristics[sex]	Characteristics[genotype]	Characteristics[organism part]	Characteristics[sampling site]	Material Type	Protocol REF	Protocol REF	Protocol REF	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Comment[end bias]	Comment[input molecule]	Comment[library construction]	Comment[primer]	Comment[single cell isolation]	Comment[spike in]	Protocol REF	Performer	Assay Name	Comment[technical replicate group]	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Factor Value[single cell identifier]
Sample 100	ERS13532000	SAMEA111438578	Mus musculus	C57BL/6 x CAST/EiJ	1	9	week	EFO	UO_0000034	adult	female	wild type genotype	skin	dorsal skin	cell	P-MTAB-126593	P-MTAB-126594	P-MTAB-126595	Sample 100	SINGLE	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	none	polyA RNA	Smart-seq2	oligo-dT	FACS	none	P-MTAB-126596	ICMC	20180217_Lane3_Skin_G13_S100_L003	group 3	sequencing assay	ERX9850135	20180217_Lane3_Skin_G13_S100_L003_R1_001.fastq.gz	20180217_Lane3_Skin_G13_S100_L003_R1_001.fastq.gz	ERR10315275	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/075/ERR10315275/ERR10315275.fastq.gz	100
Sample 100	ERS13532000	SAMEA111438578	Mus musculus	C57BL/6 x CAST/EiJ	1	9	week	EFO	UO_0000034	adult	female	wild type genotype	skin	dorsal skin	cell	P-MTAB-126593	P-MTAB-126594	P-MTAB-126595	Sample 100	SINGLE	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	none	polyA RNA	Smart-seq2	oligo-dT	FACS	none	P-MTAB-126596	ICMC	20180217_Lane1_Skin_G13_S100_L001	group 3	sequencing assay	ERX9850135	20180217_Lane1_Skin_G13_S100_L001_R1_001.fastq.gz	20180217_Lane1_Skin_G13_S100_L001_R1_001.fastq.gz	ERR10315276	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/076/ERR10315276/ERR10315276.fastq.gz	100
Sample 100	ERS13532000	SAMEA111438578	Mus musculus	C57BL/6 x CAST/EiJ	1	9	week	EFO	UO_0000034	adult	female	wild type genotype	skin	dorsal skin	cell	P-MTAB-126593	P-MTAB-126594	P-MTAB-126595	Sample 100	SINGLE	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	none	polyA RNA	Smart-seq2	oligo-dT	FACS	none	P-MTAB-126596	ICMC	P8467_1100_S100_L002	group 3	sequencing assay	ERX9850135	P8467_1100_S100_L002_R1_001.fastq.gz	P8467_1100_S100_L002_R1_001.fastq.gz	ERR10315277	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/077/ERR10315277/ERR10315277.fastq.gz	100
Sample 100	ERS13532000	SAMEA111438578	Mus musculus	C57BL/6 x CAST/EiJ	1	9	week	EFO	UO_0000034	adult	female	wild type genotype	skin	dorsal skin	cell	P-MTAB-126593	P-MTAB-126594	P-MTAB-126595	Sample 100	SINGLE	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	none	polyA RNA	Smart-seq2	oligo-dT	FACS	none	P-MTAB-126596	ICMC	P8467_1100_S100_L001	group 3	sequencing assay	ERX9850135	P8467_1100_S100_L001_R1_001.fastq.gz	P8467_1100_S100_L001_R1_001.fastq.gz	ERR10315278	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/078/ERR10315278/ERR10315278.fastq.gz	100
Sample 100	ERS13532000	SAMEA111438578	Mus musculus	C57BL/6 x CAST/EiJ	1	9	week	EFO	UO_0000034	adult	female	wild type genotype	skin	dorsal skin	cell	P-MTAB-126593	P-MTAB-126594	P-MTAB-126595	Sample 100	SINGLE	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	none	polyA RNA	Smart-seq2	oligo-dT	FACS	none	P-MTAB-126596	ICMC	20180217_Lane2_Skin_G13_S100_L002	group 3	sequencing assay	ERX9850135	20180217_Lane2_Skin_G13_S100_L002_R1_001.fastq.gz	20180217_Lane2_Skin_G13_S100_L002_R1_001.fastq.gz	ERR10315279	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/079/ERR10315279/ERR10315279.fastq.gz	100
Sample 101	ERS13532001	SAMEA111438579	Mus musculus	C57BL/6 x CAST/EiJ	1	9	week	EFO	UO_0000034	adult	female	wild type genotype	skin	dorsal skin	cell	P-MTAB-126593	P-MTAB-126594	P-MTAB-126595	Sample 101	SINGLE	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	none	polyA RNA	Smart-seq2	oligo-dT	FACS	none	P-MTAB-126596	ICMC	P8467_1101_S101_L001	group 4	sequencing assay	ERX9850136	P8467_1101_S101_L001_R1_001.fastq.gz	P8467_1101_S101_L001_R1_001.fastq.gz	ERR10315280	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/080/ERR10315280/ERR10315280.fastq.gz	101
Sample 101	ERS13532001	SAMEA111438579	Mus musculus	C57BL/6 x CAST/EiJ	1	9	week	EFO	UO_0000034	adult	female	wild type genotype	skin	dorsal skin	cell	P-MTAB-126593	P-MTAB-126594	P-MTAB-126595	Sample 101	SINGLE	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	none	polyA RNA	Smart-seq2	oligo-dT	FACS	none	P-MTAB-126596	ICMC	20180217_Lane1_Skin_I13_S101_L001	group 4	sequencing assay	ERX9850136	20180217_Lane1_Skin_I13_S101_L001_R1_001.fastq.gz	20180217_Lane1_Skin_I13_S101_L001_R1_001.fastq.gz	ERR10315281	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/081/ERR10315281/ERR10315281.fastq.gz	101
Sample 101	ERS13532001	SAMEA111438579	Mus musculus	C57BL/6 x CAST/EiJ	1	9	week	EFO	UO_0000034	adult	female	wild type genotype	skin	dorsal skin	cell	P-MTAB-126593	P-MTAB-126594	P-MTAB-126595	Sample 101	SINGLE	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	none	polyA RNA	Smart-seq2	oligo-dT	FACS	none	P-MTAB-126596	ICMC	20180217_Lane3_Skin_I13_S101_L003	group 4	sequencing assay	ERX9850136	20180217_Lane3_Skin_I13_S101_L003_R1_001.fastq.gz	20180217_Lane3_Skin_I13_S101_L003_R1_001.fastq.gz	ERR10315282	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/082/ERR10315282/ERR10315282.fastq.gz	101
Sample 101	ERS13532001	SAMEA111438579	Mus musculus	C57BL/6 x CAST/EiJ	1	9	week	EFO	UO_0000034	adult	female	wild type genotype	skin	dorsal skin	cell	P-MTAB-126593	P-MTAB-126594	P-MTAB-126595	Sample 101	SINGLE	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	none	polyA RNA	Smart-seq2	oligo-dT	FACS	none	P-MTAB-126596	ICMC	P8467_1101_S101_L002	group 4	sequencing assay	ERX9850136	P8467_1101_S101_L002_R1_001.fastq.gz	P8467_1101_S101_L002_R1_001.fastq.gz	ERR10315283	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/083/ERR10315283/ERR10315283.fastq.gz	101
Sample 101	ERS13532001	SAMEA111438579	Mus musculus	C57BL/6 x CAST/EiJ	1	9	week	EFO	UO_0000034	adult	female	wild type genotype	skin	dorsal skin	cell	P-MTAB-126593	P-MTAB-126594	P-MTAB-126595	Sample 101	SINGLE	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	none	polyA RNA	Smart-seq2	oligo-dT	FACS	none	P-MTAB-126596	ICMC	20180217_Lane2_Skin_I13_S101_L002	group 4	sequencing assay	ERX9850136	20180217_Lane2_Skin_I13_S101_L002_R1_001.fastq.gz	20180217_Lane2_Skin_I13_S101_L002_R1_001.fastq.gz	ERR10315284	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/084/ERR10315284/ERR10315284.fastq.gz	101
Sample 102	ERS13532002	SAMEA111438580	Mus musculus	C57BL/6 x CAST/EiJ	1	9	week	EFO	UO_0000034	adult	female	wild type genotype	skin	dorsal skin	cell	P-MTAB-126593	P-MTAB-126594	P-MTAB-126595	Sample 102	SINGLE	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	none	polyA RNA	Smart-seq2	oligo-dT	FACS	none	P-MTAB-126596	ICMC	20180217_Lane2_Skin_K13_S102_L002	group 5	sequencing assay	ERX9850137	20180217_Lane2_Skin_K13_S102_L002_R1_001.fastq.gz	20180217_Lane2_Skin_K13_S102_L002_R1_001.fastq.gz	ERR10315285	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/085/ERR10315285/ERR10315285.fastq.gz	102
Sample 102	ERS13532002	SAMEA111438580	Mus musculus	C57BL/6 x CAST/EiJ	1	9	week	EFO	UO_0000034	adult	female	wild type genotype	skin	dorsal skin	cell	P-MTAB-126593	P-MTAB-126594	P-MTAB-126595	Sample 102	SINGLE	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	none	polyA RNA	Smart-seq2	oligo-dT	FACS	none	P-MTAB-126596	ICMC	P8467_1102_S102_L002	group 5	sequencing assay	ERX9850137	P8467_1102_S102_L002_R1_001.fastq.gz	P8467_1102_S102_L002_R1_001.fastq.gz	ERR10315286	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/086/ERR10315286/ERR10315286.fastq.gz	102
Sample 102	ERS13532002	SAMEA111438580	Mus musculus	C57BL/6 x CAST/EiJ	1	9	week	EFO	UO_0000034	adult	female	wild type genotype	skin	dorsal skin	cell	P-MTAB-126593	P-MTAB-126594	P-MTAB-126595	Sample 102	SINGLE	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	none	polyA RNA	Smart-seq2	oligo-dT	FACS	none	P-MTAB-126596	ICMC	20180217_Lane1_Skin_K13_S102_L001	group 5	sequencing assay	ERX9850137	20180217_Lane1_Skin_K13_S102_L001_R1_001.fastq.gz	20180217_Lane1_Skin_K13_S102_L001_R1_001.fastq.gz	ERR10315287	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/087/ERR10315287/ERR10315287.fastq.gz	102
Sample 102	ERS13532002	SAMEA111438580	Mus musculus	C57BL/6 x CAST/EiJ	1	9	week	EFO	UO_0000034	adult	female	wild type genotype	skin	dorsal skin	cell	P-MTAB-126593	P-MTAB-126594	P-MTAB-126595	Sample 102	SINGLE	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	none	polyA RNA	Smart-seq2	oligo-dT	FACS	none	P-MTAB-126596	ICMC	20180217_Lane3_Skin_K13_S102_L003	group 5	sequencing assay	ERX9850137	20180217_Lane3_Skin_K13_S102_L003_R1_001.fastq.gz	20180217_Lane3_Skin_K13_S102_L003_R1_001.fastq.gz	ERR10315288	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/088/ERR10315288/ERR10315288.fastq.gz	102
Sample 102	ERS13532002	SAMEA111438580	Mus musculus	C57BL/6 x CAST/EiJ	1	9	week	EFO	UO_0000034	adult	female	wild type genotype	skin	dorsal skin	cell	P-MTAB-126593	P-MTAB-126594	P-MTAB-126595	Sample 102	SINGLE	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	none	polyA RNA	Smart-seq2	oligo-dT	FACS	none	P-MTAB-126596	ICMC	P8467_1102_S102_L001	group 5	sequencing assay	ERX9850137	P8467_1102_S102_L001_R1_001.fastq.gz	P8467_1102_S102_L001_R1_001.fastq.gz	ERR10315289	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/089/ERR10315289/ERR10315289.fastq.gz	102
Sample 103	ERS13532003	SAMEA111438581	Mus musculus	C57BL/6 x CAST/EiJ	1	9	week	EFO	UO_0000034	adult	female	wild type genotype	skin	dorsal skin	cell	P-MTAB-126593	P-MTAB-126594	P-MTAB-126595	Sample 103	SINGLE	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	none	polyA RNA	Smart-seq2	oligo-dT	FACS	none	P-MTAB-126596	ICMC	20180217_Lane3_Skin_M13_S103_L003	group 6	sequencing assay	ERX9850138	20180217_Lane3_Skin_M13_S103_L003_R1_001.fastq.gz	20180217_Lane3_Skin_M13_S103_L003_R1_001.fastq.gz	ERR10315290	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/090/ERR10315290/ERR10315290.fastq.gz	103
Sample 103	ERS13532003	SAMEA111438581	Mus musculus	C57BL/6 x CAST/EiJ	1	9	week	EFO	UO_0000034	adult	female	wild type genotype	skin	dorsal skin	cell	P-MTAB-126593	P-MTAB-126594	P-MTAB-126595	Sample 103	SINGLE	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	none	polyA RNA	Smart-seq2	oligo-dT	FACS	none	P-MTAB-126596	ICMC	P8467_1103_S103_L001	group 6	sequencing assay	ERX9850138	P8467_1103_S103_L001_R1_001.fastq.gz	P8467_1103_S103_L001_R1_001.fastq.gz	ERR10315291	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/091/ERR10315291/ERR10315291.fastq.gz	103
Sample 103	ERS13532003	SAMEA111438581	Mus musculus	C57BL/6 x CAST/EiJ	1	9	week	EFO	UO_0000034	adult	female	wild type genotype	skin	dorsal skin	cell	P-MTAB-126593	P-MTAB-126594	P-MTAB-126595	Sample 103	SINGLE	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	none	polyA RNA	Smart-seq2	oligo-dT	FACS	none	P-MTAB-126596	ICMC	20180217_Lane1_Skin_M13_S103_L001	group 6	sequencing assay	ERX9850138	20180217_Lane1_Skin_M13_S103_L001_R1_001.fastq.gz	20180217_Lane1_Skin_M13_S103_L001_R1_001.fastq.gz	ERR10315292	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/092/ERR10315292/ERR10315292.fastq.gz	103
Sample 103	ERS13532003	SAMEA111438581	Mus musculus	C57BL/6 x CAST/EiJ	1	9	week	EFO	UO_0000034	adult	female	wild type genotype	skin	dorsal skin	cell	P-MTAB-126593	P-MTAB-126594	P-MTAB-126595	Sample 103	SINGLE	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	none	polyA RNA	Smart-seq2	oligo-dT	FACS	none	P-MTAB-126596	ICMC	20180217_Lane2_Skin_M13_S103_L002	group 6	sequencing assay	ERX9850138	20180217_Lane2_Skin_M13_S103_L002_R1_001.fastq.gz	20180217_Lane2_Skin_M13_S103_L002_R1_001.fastq.gz	ERR10315293	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/093/ERR10315293/ERR10315293.fastq.gz	103
Sample 103	ERS13532003	SAMEA111438581	Mus musculus	C57BL/6 x CAST/EiJ	1	9	week	EFO	UO_0000034	adult	female	wild type genotype	skin	dorsal skin	cell	P-MTAB-126593	P-MTAB-126594	P-MTAB-126595	Sample 103	SINGLE	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	none	polyA RNA	Smart-seq2	oligo-dT	FACS	none	P-MTAB-126596	ICMC	P8467_1103_S103_L002	group 6	sequencing assay	ERX9850138	P8467_1103_S103_L002_R1_001.fastq.gz	P8467_1103_S103_L002_R1_001.fastq.gz	ERR10315294	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/094/ERR10315294/ERR10315294.fastq.gz	103
Sample 104	ERS13532004	SAMEA111438582	Mus musculus	C57BL/6 x CAST/EiJ	1	9	week	EFO	UO_0000034	adult	female	wild type genotype	skin	dorsal skin	cell	P-MTAB-126593	P-MTAB-126594	P-MTAB-126595	Sample 104	SINGLE	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	none	polyA RNA	Smart-seq2	oligo-dT	FACS	none	P-MTAB-126596	ICMC	20180217_Lane2_Skin_O13_S104_L002	group 7	sequencing assay	ERX9850139	20180217_Lane2_Skin_O13_S104_L002_R1_001.fastq.gz	20180217_Lane2_Skin_O13_S104_L002_R1_001.fastq.gz	ERR10315295	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/095/ERR10315295/ERR10315295.fastq.gz	104
Sample 104	ERS13532004	SAMEA111438582	Mus musculus	C57BL/6 x CAST/EiJ	1	9	week	EFO	UO_0000034	adult	female	wild type genotype	skin	dorsal skin	cell	P-MTAB-126593	P-MTAB-126594	P-MTAB-126595	Sample 104	SINGLE	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	none	polyA RNA	Smart-seq2	oligo-dT	FACS	none	P-MTAB-126596	ICMC	P8467_1104_S104_L002	group 7	sequencing assay	ERX9850139	P8467_1104_S104_L002_R1_001.fastq.gz	P8467_1104_S104_L002_R1_001.fastq.gz	ERR10315296	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/096/ERR10315296/ERR10315296.fastq.gz	104
Sample 104	ERS13532004	SAMEA111438582	Mus musculus	C57BL/6 x CAST/EiJ	1	9	week	EFO	UO_0000034	adult	female	wild type genotype	skin	dorsal skin	cell	P-MTAB-126593	P-MTAB-126594	P-MTAB-126595	Sample 104	SINGLE	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	none	polyA RNA	Smart-seq2	oligo-dT	FACS	none	P-MTAB-126596	ICMC	20180217_Lane1_Skin_O13_S104_L001	group 7	sequencing assay	ERX9850139	20180217_Lane1_Skin_O13_S104_L001_R1_001.fastq.gz	20180217_Lane1_Skin_O13_S104_L001_R1_001.fastq.gz	ERR10315297	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/097/ERR10315297/ERR10315297.fastq.gz	104
Sample 104	ERS13532004	SAMEA111438582	Mus musculus	C57BL/6 x CAST/EiJ	1	9	week	EFO	UO_0000034	adult	female	wild type genotype	skin	dorsal skin	cell	P-MTAB-126593	P-MTAB-126594	P-MTAB-126595	Sample 104	SINGLE	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	none	polyA RNA	Smart-seq2	oligo-dT	FACS	none	P-MTAB-126596	ICMC	20180217_Lane3_Skin_O13_S104_L003	group 7	sequencing assay	ERX9850139	20180217_Lane3_Skin_O13_S104_L003_R1_001.fastq.gz	20180217_Lane3_Skin_O13_S104_L003_R1_001.fastq.gz	ERR10315298	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/098/ERR10315298/ERR10315298.fastq.gz	104
